-- 2026 Speaker Targets --
🎤  2026 SPEAKER TARGETS  |  BipTap / 1TX0  |  Jon,,,,,,,,,,,,
"Payments · Banking · Crypto · iGaming / Gambling  |  Events by Grade, Region & Application Method",,,,,,,,,,,,
,,,,,,,,,,,,
Event Name,Date,Country,City,Industry,Grade,Audience Size,Notable Past Speakers,Why Relevant for Jon/BipTap,How to Apply,Application Link / Email,Status,Notes
TOKEN2049 Dubai,"Apr 29–30, 2026",UAE 🇦🇪,Dubai,Crypto,A+,"15,000+","CZ, Raoul Pal, Arthur Hayes, Richard Teng (Binance)","Home turf. Sovereign partnerships, crypto-fiat infra, institutional audience. CAR deal & OnlyFans/Docler are strong credentials.",Email content team directly with speaker pitch,speakers@token2049.com,TO APPLY,Top priority — apply immediately
Consensus Miami,"May 5–7, 2026",USA 🇺🇸,"Miami, FL",Crypto,A+,"20,000+","Coinbase, Binance, BlackRock, Solana Foundation",Largest crypto event in Americas. 10th anniversary. Investor deal flow + CoinDesk media exposure.,Speaker submission form on website,https://consensus.coindesk.com/ → 'Speak',TO APPLY,Pitch: 'Banking the Unbanked with Omnichain Infrastructure'
TOKEN2049 Singapore,"Oct 7–8, 2026",Singapore 🇸🇬,Singapore,Crypto,A+,"25,000+","Richard Teng (Binance CEO), Jesse Pollak (Base), Stani Kulechov (Aave)","Biggest crypto event globally by headcount. 7,000 companies from 160+ countries.",Speaker interest form on website (waitlist fills fast),https://www.token2049.com/singapore → 'Speak',TO APPLY,Book early — sells out
Paris Blockchain Week,"Apr 15–16, 2026",France 🇫🇷,Paris,Crypto,A-,"10,000+","Institutional leaders, regulators, enterprise blockchain",Strong for European expansion. Luxembourg private banking angle plays well here.,Speaker application via website,https://pbw.fr → 'Participate',TO APPLY,StartinBlock pitch competition also worth entering
Blockchain Life Dubai,"Dec 1–2, 2026",UAE 🇦🇪,Dubai,Crypto,B+,"15,000+","Crypto whales, founders, exchange CEOs",Trading/mining/whale-focused. Good for year-end deal flow in home market.,Speaker/partner inquiry via contact page,https://blockchain-life.com → Contact,TO APPLY,
Money20/20 USA,Oct 2026,USA 🇺🇸,"Las Vegas, NV",Payments/Banking,A+,"13,000+","Visa, Mastercard, JPMorgan, Revolut, IBM",Premier global fintech/payments event in NA. White-label banking buyer audience for 1TX0.,Speaker submission form on website,https://www.money2020.com → 'Speak at Money20/20',TO APPLY,Pitch 1TX0 as 'The AWS of Banking Infrastructure'
Seamless Fintech Middle East,"May 12–14, 2026",UAE 🇦🇪,Dubai,Payments/Banking,A,"25,000","ADCB, HSBC, Emirates NBD, UAE/Saudi/Qatar Central Banks, Binance, Tabby",Right in your backyard. MENA expansion narrative. Both BipTap (consumer) & 1TX0 (B2B) relevant.,Dedicated 'Become a Speaker' form on website,https://www.seamless-expo.com → 'Speak',TO APPLY,PRIORITY — reach out now
Money20/20 Middle East,"Sep 28–Oct 1, 2026",USA 🇺🇸,"Miami Beach, FL",Payments/Banking,A,"4,000+","Mastercard, JP Morgan, Visa, Standard Chartered, Grab, DBS","451 brands, 1,051 investors, 157 startups. High investor density.",Same as Money20/20 USA application,https://www.money2020.com → Middle East edition,TO APPLY,
Sibos (SWIFT),TBD 2026,Rotates,TBD,Payments/Banking,A,"8,000–10,000","Global banks, payment networks, central banks",Premier banking infrastructure gathering. SWIFT partnerships + sovereign banking angle.,SWIFT curates speakers; approach via SWIFT partnership channels,https://www.sibos.com → Programme Committee contact,TO APPLY,Approach via SWIFT partner intro if possible
MoneyLIVE Summit,Feb/Mar 2026,UK 🇬🇧,London,Payments/Banking,A-,500–800 (C-suite only),"Barclays, Lloyds, JPMorgan, Revolut, Bunq",Europe's most senior banking event. 1TX0 white-label infra + CAR sovereignty angle is a differentiator.,'Speak at the Summit' application on website,https://www.moneylive.co.uk → 'Speak',TO APPLY,Very curated — emphasize 1TX0 B2B angle
Fintech Meetup,"Mar 30–Apr 1, 2026",USA 🇺🇸,"Las Vegas, NV",Payments/Banking,B+,"6,000+","Citi, Chime, TD Bank execs, 700+ financial institutions","High volume of structured meetings between banks, fintechs, and investors.",Live speaker application form on website — can submit self OR full session proposal,https://fintechmeetup.com/page/apply-to-speak,TO APPLY,
SBC Summit Lisbon,Sep 2026,Portugal 🇵🇹,Lisbon,iGaming/Gambling,A+,"40,000","Major gaming operators, regulators, tech suppliers worldwide",Largest gambling show in the world. Crypto×iGaming payments is growing track. OnlyFans/Docler credentials.,'Speak at SBC Summit' form on website,https://sbcevents.com/sbc-summit → 'Speak',TO APPLY,Pitch: 'Crypto-to-Fiat Infrastructure for High-Risk Gaming Operators'
G2E Las Vegas,"Sep 28–Oct 1, 2026",USA 🇺🇸,"Las Vegas, NV",iGaming/Gambling,A,"25,000+","State/tribal regulators, major US operators, Sightline, IGT, Konami",Premier North American gaming expo. US sports betting expansion + crypto payments convergence.,Speaker applications via American Gaming Association portal,https://www.ggexpoglobal.com → Speaker submissions,TO APPLY,
SBC Summit Americas,Jun 2026,USA 🇺🇸,"Fort Lauderdale, FL",iGaming/Gambling,A-,"10,000+","Casino operators, affiliates, payments leaders from Americas",Has a dedicated Payments Summit track — perfect for BipTap crypto-to-fiat for gaming operators.,Speaker form on event page,https://sbcevents.com/sbc-summit-americas → 'Speak',TO APPLY,Focus pitch on Payments Summit track
BiS SiGMA South America,"Apr 6–9, 2026",Brazil 🇧🇷,São Paulo,iGaming/Gambling,A-,"18,500+","iGaming operators, B2B providers, affiliates, payment vendors",Brazil's newly legal gambling market. LATAM is core BipTap market. Entry point for the region.,Speaker inquiry form on sigma.world,https://sigma.world/south-america → 'Speak',TO APPLY,
SiGMA Eurasia Dubai,"Feb 23–25, 2026",UAE 🇦🇪,Dubai,iGaming/Gambling,A-,"14,500","300+ speakers, operators, affiliates, payment vendors",MENA gaming + payments crossover. Likely passed for 2026 — target 2027.,Speaker/partner application via sigma.world,https://sigma.world/eurasia → 'Speak',2027 TARGET,May have passed for 2026

-- Legend & Instructions --
LEGEND & HOW TO USE THIS TRACKER,
,
GRADE SCALE,
A+,Top-tier global event — must-attend for speaking
A,Major regional or industry-specific event — high value
A-,Strong event with specific relevance to BipTap/1TX0
B+,Good event — worth doing if other priorities covered
,
STATUS,
TO APPLY,Team should reach out to organiser immediately
2027 TARGET,Likely passed for 2026 — plan for next year
,
PITCHING TIPS,
Unique angle,Reference CAR sovereign deal + OnlyFans/Docler as credentials. Very few founders can claim both.
BipTap pitch,'World's First Omnibank — banking underserved markets & high-risk industries globally'
1TX0 pitch,'The AWS of white-label banking infrastructure — powering omnibanks for the world'
Topic hooks,Crypto-to-fiat rails · Underserved markets · Sovereign banking · High-risk industry banking
,
PRIORITY ORDER,
1st,"TOKEN2049 Dubai — home turf, highest ROI"
2nd,"Seamless Fintech ME — biggest MENA event, right in Dubai"
3rd,Consensus Miami — Americas reach + CoinDesk media
4th,SBC Summit Lisbon — largest gambling event globally
5th,Money20/20 USA — premier banking/payments event in NA

