Name,Link,Price,Inclusions
The Dubai Taste,https://www.instagram.com/thedubaitaste/,$81.70 / $136.15,"Khaleej Times 3000 AED ($81.7) and Gulf News 5000 AED ($136.15) — content replicated on-site (minor edits if needed)"
Boombaptimesus,https://www.instagram.com/boombaptimesus/,Priced individually,"$54 article, $60 IG cover, $58 interview, $38 news, $99 IG cover + article"
Thrive Times US,https://www.instagram.com/thrive_times_us/,$120,Feature article with cover
The London Magazine,https://www.instagram.com/london.mag/,$100,"Article + cover + Instagram collab post"
Los Angeles Journals,https://www.instagram.com/losangelesjournals/,$200,"Full feature article + cover + Instagram collab post"
L'ICONICA,https://www.instagram.com/liconicamagazine/,$299,"1500-word article + 5 photos + designed cover; bundle: 5 mags/$499, 10 mags/$1,000"
CEO Arab Magazine,https://www.instagram.com/ceoarab/,$149.80 / $136.15,"Full feature article + cover + Instagram collab (digital article discount)"
Hollywood Mirror,https://www.instagram.com/hollywoodmirrormag/,$68,Digital cover + Instagram collab post
London Weekly Mag,https://www.instagram.com/londonweeklymag/,$72,Digital cover + Instagram collab post
UAE CEO,https://www.instagram.com/uaeceo/,$199,"800–1200 word article + digital cover + Instagram collab post"
