Publication,Genres,Price,DA,DR,TAT,Region,Sponsored,Indexed,Do Follow,POC,Notes
Elite Daily,3 genres,"Top 5: $2,500 / Top 10: $5,000",89,83,1-2 Weeks,"United States, Global",No,Yes,No,Wilson,Prices in USD
High Net Worth Magazine (Staff),5 genres,"Top 5: $450 / Top 10: $600",15,41,1 Day,United States,No,Yes,Yes,Wilson,
Muscle & Fitness (Includes Social Post),3 genres,"Top 5: $2,750 / Top 10: $4,000",84,78,1 Week,United States,No,Yes,Yes,Wilson,
WWD,5 genres,"Top 5: $4,500 / Top 10: $5,500",87,88,1-2 Weeks,United States,Discrete,Yes,No,Wilson,
Variety + IG Social Post & Impressions (Guaranteed Impressions),4 genres,"Top 5: $25,000 / Top 10: $20,000",93,91,1-2 Weeks,Global,No,Yes,No,Wilson,
Sourcing Journal,4 genres,"Top 5: $4,750 / Top 10: $5,750",74,78,1-2 Weeks,United States,Discrete,Yes,Yes,Wilson,
Detroit Free Press,4 genres,"Top 5: $2,500 / Top 10: $4,000",91,86,1-2 Weeks,"Michigan, United States",No,Yes,No,Wilson,
Life & Style (Lowered),7 genres,"Top 5: $1,000 / Top 10: $2,000",78,74,1-3 Weeks,"United States, Global",No,Yes,No,Wilson,
The Influential,7 genres,"Top 5: $400 / Top 10: $800",64,45,3 Days,"Global, United States",No,Yes,No,Wilson,POC: Wilson
OK! Magazine (Staff),5 genres,"Top 5: $1,750 / Top 10: $2,500",81,76,3-5 Days,"Global, United States",No,Yes,Yes,Wilson,
Apple News (Syndication from Grit Daily),News,"Top 5: $1,500 / Top 10: $3,000",99,97,3-5 Days,United States,No,Yes,No,Wilson,
IB Times (AU),5 genres,"Top 5: $1,000 / Top 10: $1,500",69,71,3-5 Days,Australia,Yes,Yes,No,Wilson,
Block Telegraph (Staff),4 genres,"Top 5: $750 / Top 10: $1,500",65,60,1 Day,Global,No,Yes,No,Wilson,
Bustle,3 genres,"Top 5: $2,500 / Top 10: $5,000",91,89,1-2 Weeks,"United States, Global",No,Yes,No,Wilson,
Arizona Central,4 genres,"Top 5: $2,500 / Top 10: $4,500",90,87,1-2 Weeks,"Arizona, United States",No,Yes,No,Wilson,
Luxury LA Mag (Staff),4 genres,"Top 5: $450 / Top 10: $600",38,15,1 Day,United States,No,Yes,No,Wilson,
Rolling Stone (UK),3 genres,"Top 5: $2,500 / Top 10: $3,500",61,71,1-2 Weeks,United Kingdom,Discrete,Yes,No,Wilson,
Maxim Full Feature,7 genres,"Top 5: $6,500 / Top 10: $4,500",85,79,1-3 Weeks,"New York, United States",No,Yes,No,Wilson,
The Zoe Report,3 genres,"Top 5: $2,500 / Top 10: $5,000",77,80,1-2 Weeks,"United States, Global",No,Yes,No,Wilson,
Allure,"Lifestyle, News","Top 5: $4,000 / Top 10: $8,000",90,86,1-2 Weeks,United States,No,Yes,No,Wilson,
Fatherly,News,"Top 5: $2,500 / Top 10: $5,000",80,79,1-2 Weeks,United States,No,Yes,No,Wilson,
Bon Appétit,"Lifestyle, News","Top 5: $4,000 / Top 10: $8,000",88,90,1-2 Weeks,United States,No,Yes,No,Wilson,
First for Women (Lowered),3 genres,"Top 5: $1,000 / Top 10: $2,000",60,72,3 Weeks,"United States, Global",No,Yes,No,Wilson,
Nylon,3 genres,"Top 5: $2,500 / Top 10: $5,000",76,80,1-2 Weeks,United States,No,Yes,No,Wilson,
Dubai Weekly,News,"Top 5: $400 / Top 10: $800",59,44,3 Days,"Middle East, UAE",No,Yes,No,Wilson,
Robb Report Mexico,3 genres,"Top 5: $2,500 / Top 10: $3,750",42,59,1-2 Weeks,Mexico,No,Yes,No,Wilson,
Closer Weekly,4 genres,"Top 5: $1,000 / Top 10: $2,000",78,71,3 Weeks,"United States, Global",No,Yes,No,Wilson,
Teen Vogue,News,"Top 5: $4,000 / Top 10: $8,000",89,86,1-2 Weeks,United States,No,Yes,No,Wilson,
Architectural Digest,3 genres,"Top 5: $4,000 / Top 10: $8,000",87,89,1-2 Weeks,United States,No,Yes,No,Wilson,
Radar Online,4 genres,"Top 5: $1,250 / Top 10: $1,500",81,78,1 Week,United States,No,Yes,No,Wilson,
Smartech Daily (Staff),3 genres,"Top 5: $450 / Top 10: $600",56,31,1-3 Days,United States,No,Yes,No,Wilson,
Luxury Miami Magazine (Staff),Luxury,"Top 5: $450 / Top 10: $600",37,32,2-3 Days,Florida,No,Yes,No,Wilson,
Tech Round,"News, Tech","Top 5: $1,250 / Top 10: $1,750",50,76,1-2 Weeks,United Kingdom,No,Yes,No,Wilson,
Inverse,3 genres,"Top 5: $2,500 / Top 10: $5,000",83,83,1-2 Weeks,"United States, Global",No,Yes,No,Wilson,
Mic,"News, Lifestyle","Top 5: $2,500 / Top 10: $5,000",85,84,1-2 Weeks,United States,No,Yes,No,Wilson,
Elle Canada,4 genres,"Top 5: $2,250 / Top 10: $3,000",74,74,2 Weeks,Canada,No,Yes,No,Wilson,
SF Examiner,News,"Top 5: $600 / Top 10: $750",82,80,1-3 Days,"California, United States",No,Yes,No,Wilson,
Law & Crime,3 genres,"Top 5: $1,250 / Top 10: $1,750",80,75,3-5 Days,Global,Discrete,Yes,No,Wilson,
Financial Tech Times (Staff),5 genres,"Top 5: $450 / Top 10: $600",56,31,1 Day,United States,No,Yes,No,Wilson,
Wired (New),"News, Tech","Top 5: $4,000 / Top 10: $8,000",93,92,1-2 Weeks,United States,No,Yes,No,Wilson,
Glamour,"Lifestyle, News","Top 5: $4,000 / Top 10: $8,000",90,87,1-2 Weeks,United States,No,Yes,No,Wilson,
Variety (400,000 Impressions),4 genres,"Top 5: $25,000 / Top 10: $20,000",93,91,1-2 Weeks,Global,No,Yes,No,Wilson,
CEO Official Mag (Staff),Business,"Top 5: $450 / Top 10: $600",37,33,2-3 Days,United States,No,Yes,No,Wilson,
Pharmatech News (Staff),3 genres,"Top 5: $450 / Top 10: $600",34,56,1 Day,United States,No,Yes,Yes,Wilson,
USA Today,6 genres,"Top 5: $4,000 / Top 10: $8,000",94,92,1-2 Weeks,Global,No,Yes,No,Wilson,
Law Newsday (Staff),3 genres,"Top 5: $450 / Top 10: $600",34,56,1 Day,United States,No,Yes,Yes,Wilson,
Scary Mommy,Lifestyle,"Top 5: $2,500 / Top 10: $5,000",80,79,1-2 Weeks,"United States, Global",No,Yes,No,Wilson,
Geekwire,"Tech, Business","Top 5: $2,250 / Top 10: $2,750",88,86,3-5 Days,Global,Discrete,Yes,No,Wilson,
US Weekly,5 genres,"Top 5: $5,000 / Top 10: $8,500",90,84,1-3 Weeks,"Global, United States",Discrete,Yes,No,Wilson,
Venture Beat,4 genres,"Top 5: $4,500 / Top 10: $6,000",91,91,1 Week,Global,No,Yes,Yes,Wilson,
Condé Nast Traveler,"Lifestyle, News","Top 5: $4,000 / Top 10: $8,000",89,88,1-2 Weeks,United States,No,Yes,No,Wilson,
